training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3814,0,1.8906,0
0,1,0.4876,0,1.4757,0
0,2,0.5426,0,1.3398,0
0,3,0.5620,0,1.2699,0
0,4,0.5980,0,1.1820,0
1,0,0.2998,0,2.7426,0
1,1,0.4853,0,1.6925,0
1,2,0.6179,0,1.2969,0
1,3,0.6873,0,1.0233,0
1,4,0.7240,0,0.8642,0
2,0,0.3176,0,3.9316,0
2,1,0.5925,0,1.4415,0
2,2,0.6972,0,0.9743,0
2,3,0.7323,0,0.8340,0
2,4,0.7567,0,0.7379,0
3,0,0.4730,0,3.2696,0
3,1,0.7349,0,0.9469,0
3,2,0.8102,0,0.6344,0
3,3,0.8346,0,0.5311,0
3,4,0.8508,0,0.4754,0
4,0,0.4697,0,2.9778,0
4,1,0.7295,0,0.8755,0
4,2,0.7845,0,0.6576,0
4,3,0.8071,0,0.5906,0
4,4,0.8340,0,0.5110,0
5,0,0.4338,0,3.3151,0
5,1,0.6371,0,1.2576,0
5,2,0.7228,0,0.8497,0
5,3,0.7571,0,0.7243,0
5,4,0.7856,0,0.6401,0
6,0,0.4983,0,2.8623,0
6,1,0.7622,0,0.8297,0
6,2,0.8110,0,0.5770,0
6,3,0.8423,0,0.4777,0
6,4,0.8621,0,0.4117,0
7,0,0.4907,0,2.5466,0
7,1,0.7152,0,0.8972,0
7,2,0.7730,0,0.7014,0
7,3,0.8063,0,0.5873,0
7,4,0.8257,0,0.5343,0
8,0,0.4893,0,2.9596,0
8,1,0.7561,0,0.8665,0
8,2,0.8164,0,0.5826,0
8,3,0.8402,0,0.4857,0
8,4,0.8598,0,0.4351,0
9,0,0.4843,0,2.7806,0
9,1,0.8053,0,0.6493,0
9,2,0.8611,0,0.4502,0
9,3,0.8805,0,0.3789,0
9,4,0.9012,0,0.3145,0
