training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3740,0,1.9299,0
0,1,0.4973,0,1.4722,0
0,2,0.5573,0,1.3086,0
0,3,0.5980,0,1.2094,0
0,4,0.5982,0,1.1840,0
1,0,0.3477,0,2.5550,0
1,1,0.4967,0,1.6563,0
1,2,0.5954,0,1.3698,0
1,3,0.6505,0,1.1762,0
1,4,0.6895,0,1.0254,0
2,0,0.4120,0,3.3221,0
2,1,0.6137,0,1.4487,0
2,2,0.6688,0,1.1566,0
2,3,0.6986,0,1.0227,0
2,4,0.7187,0,0.9254,0
3,0,0.4927,0,2.9920,0
3,1,0.6985,0,1.2039,0
3,2,0.7631,0,0.8630,0
3,3,0.7874,0,0.7444,0
3,4,0.8043,0,0.6688,0
4,0,0.5010,0,2.9505,0
4,1,0.6485,0,1.3311,0
4,2,0.7485,0,0.8774,0
4,3,0.7760,0,0.7560,0
4,4,0.7937,0,0.6718,0
5,0,0.4998,0,2.8288,0
5,1,0.6254,0,1.3309,0
5,2,0.7088,0,0.9490,0
5,3,0.7461,0,0.8166,0
5,4,0.7694,0,0.7347,0
6,0,0.5244,0,2.6410,0
6,1,0.7218,0,0.9614,0
6,2,0.7868,0,0.7200,0
6,3,0.8124,0,0.6171,0
6,4,0.8256,0,0.5584,0
7,0,0.5288,0,2.6771,0
7,1,0.7241,0,0.9835,0
7,2,0.7644,0,0.7803,0
7,3,0.7878,0,0.6861,0
7,4,0.8144,0,0.6053,0
8,0,0.5395,0,2.5500,0
8,1,0.7348,0,0.9289,0
8,2,0.7908,0,0.6972,0
8,3,0.8151,0,0.6112,0
8,4,0.8366,0,0.5561,0
9,0,0.5831,0,2.2580,0
9,1,0.8121,0,0.6870,0
9,2,0.8509,0,0.5213,0
9,3,0.8654,0,0.4595,0
9,4,0.8831,0,0.3996,0
