training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.2938,0,2.0004,0
0,1,0.4073,0,1.5909,0
0,2,0.4680,0,1.4555,0
0,3,0.5090,0,1.3347,0
0,4,0.5178,0,1.2930,0
1,0,0.3463,0,2.6789,0
1,1,0.4929,0,1.7185,0
1,2,0.5809,0,1.4269,0
1,3,0.6489,0,1.2173,0
1,4,0.6830,0,1.0712,0
2,0,0.3834,0,3.3841,0
2,1,0.5686,0,1.5598,0
2,2,0.6431,0,1.2280,0
2,3,0.7007,0,1.0403,0
2,4,0.7233,0,0.9466,0
3,0,0.4595,0,3.0839,0
3,1,0.6195,0,1.4033,0
3,2,0.6967,0,1.0668,0
3,3,0.7224,0,0.9294,0
3,4,0.7442,0,0.8546,0
4,0,0.4771,0,3.0999,0
4,1,0.5495,0,1.8684,0
4,2,0.6786,0,1.1490,0
4,3,0.7202,0,0.9609,0
4,4,0.7581,0,0.8386,0
5,0,0.4874,0,2.9164,0
5,1,0.6534,0,1.3004,0
5,2,0.7344,0,0.9216,0
5,3,0.7692,0,0.8046,0
5,4,0.7832,0,0.7233,0
6,0,0.5119,0,2.6693,0
6,1,0.6929,0,1.0497,0
6,2,0.7497,0,0.8181,0
6,3,0.7792,0,0.7269,0
6,4,0.7962,0,0.6720,0
7,0,0.5283,0,2.6592,0
7,1,0.7175,0,1.0214,0
7,2,0.7732,0,0.7718,0
7,3,0.7929,0,0.6752,0
7,4,0.8176,0,0.5927,0
8,0,0.5102,0,2.7495,0
8,1,0.6873,0,1.1231,0
8,2,0.7639,0,0.7898,0
8,3,0.7937,0,0.6838,0
8,4,0.8131,0,0.6176,0
9,0,0.5121,0,2.5230,0
9,1,0.6887,0,1.0313,0
9,2,0.7449,0,0.8372,0
9,3,0.7702,0,0.7494,0
9,4,0.7900,0,0.6805,0
