training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3190,0,2.0706,0
0,1,0.4720,0,1.5613,0
0,2,0.5497,0,1.3328,0
0,3,0.5755,0,1.2412,0
0,4,0.6240,0,1.1345,0
1,0,0.3664,0,2.6321,0
1,1,0.5250,0,1.6269,0
1,2,0.6085,0,1.3500,0
1,3,0.6546,0,1.1756,0
1,4,0.6822,0,1.0696,0
2,0,0.3966,0,3.2833,0
2,1,0.6151,0,1.4273,0
2,2,0.6789,0,1.1450,0
2,3,0.7064,0,1.0115,0
2,4,0.7287,0,0.9268,0
3,0,0.4699,0,3.1694,0
3,1,0.5839,0,1.4986,0
3,2,0.6450,0,1.1703,0
3,3,0.6806,0,1.0403,0
3,4,0.7010,0,0.9634,0
4,0,0.4658,0,3.1852,0
4,1,0.6420,0,1.4070,0
4,2,0.7427,0,0.9336,0
4,3,0.7691,0,0.7979,0
4,4,0.7926,0,0.7126,0
5,0,0.5108,0,2.7988,0
5,1,0.6838,0,1.1479,0
5,2,0.7586,0,0.8442,0
5,3,0.7900,0,0.7226,0
5,4,0.8067,0,0.6489,0
6,0,0.5144,0,2.8106,0
6,1,0.7038,0,1.1023,0
6,2,0.7837,0,0.7402,0
6,3,0.8170,0,0.6254,0
6,4,0.8346,0,0.5601,0
7,0,0.5363,0,2.6164,0
7,1,0.7697,0,0.8625,0
7,2,0.8299,0,0.5994,0
7,3,0.8472,0,0.5089,0
7,4,0.8639,0,0.4544,0
8,0,0.5238,0,2.7640,0
8,1,0.7338,0,0.9925,0
8,2,0.8047,0,0.6686,0
8,3,0.8269,0,0.5737,0
8,4,0.8411,0,0.5189,0
9,0,0.5775,0,2.2330,0
9,1,0.8033,0,0.6526,0
9,2,0.8383,0,0.5220,0
9,3,0.8589,0,0.4505,0
9,4,0.8708,0,0.4074,0
