training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3076,0,1.9506,0
0,1,0.4138,0,1.6170,0
0,2,0.4728,0,1.4594,0
0,3,0.5234,0,1.3189,0
0,4,0.5644,0,1.2281,0
1,0,0.2618,0,2.8832,0
1,1,0.4460,0,1.7901,0
1,2,0.5643,0,1.4006,0
1,3,0.6567,0,1.1185,0
1,4,0.6975,0,0.9486,0
2,0,0.3063,0,3.7616,0
2,1,0.5329,0,1.5621,0
2,2,0.6478,0,1.1434,0
2,3,0.7098,0,0.9230,0
2,4,0.7449,0,0.7932,0
3,0,0.4006,0,3.6164,0
3,1,0.6011,0,1.3411,0
3,2,0.6950,0,0.9485,0
3,3,0.7392,0,0.8070,0
3,4,0.7589,0,0.7320,0
4,0,0.4050,0,3.5038,0
4,1,0.5261,0,1.6454,0
4,2,0.6641,0,1.0869,0
4,3,0.7309,0,0.8795,0
4,4,0.7738,0,0.7302,0
5,0,0.4488,0,3.2990,0
5,1,0.6772,0,1.0495,0
5,2,0.7579,0,0.7750,0
5,3,0.7825,0,0.6851,0
5,4,0.8070,0,0.5920,0
6,0,0.4276,0,3.2828,0
6,1,0.6692,0,1.0756,0
6,2,0.7552,0,0.7595,0
6,3,0.7861,0,0.6601,0
6,4,0.8127,0,0.5681,0
7,0,0.4656,0,3.0128,0
7,1,0.7305,0,0.8898,0
7,2,0.7749,0,0.6858,0
7,3,0.8039,0,0.5935,0
7,4,0.8228,0,0.5277,0
8,0,0.4394,0,3.1376,0
8,1,0.6702,0,1.0707,0
8,2,0.7595,0,0.7535,0
8,3,0.8001,0,0.6177,0
8,4,0.8252,0,0.5402,0
9,0,0.4886,0,2.8986,0
9,1,0.6875,0,0.9560,0
9,2,0.7434,0,0.7792,0
9,3,0.7653,0,0.6979,0
9,4,0.7883,0,0.6386,0
