training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3240,0,1.9983,0
0,1,0.5082,0,1.4558,0
0,2,0.5465,0,1.3111,0
0,3,0.6002,0,1.1971,0
0,4,0.6425,0,1.0728,0
1,0,0.3941,0,2.4431,0
1,1,0.5875,0,1.3690,0
1,2,0.6761,0,1.0888,0
1,3,0.7193,0,0.9480,0
1,4,0.7441,0,0.8499,0
2,0,0.4130,0,3.1433,0
2,1,0.6031,0,1.4159,0
2,2,0.6927,0,1.0551,0
2,3,0.7297,0,0.9100,0
2,4,0.7528,0,0.8194,0
3,0,0.4701,0,3.0807,0
3,1,0.6477,0,1.3119,0
3,2,0.7018,0,1.0162,0
3,3,0.7257,0,0.8993,0
3,4,0.7530,0,0.8062,0
4,0,0.4912,0,2.8572,0
4,1,0.6496,0,1.2523,0
4,2,0.7121,0,1.0059,0
4,3,0.7371,0,0.8963,0
4,4,0.7616,0,0.8168,0
5,0,0.4960,0,2.9245,0
5,1,0.6790,0,1.2097,0
5,2,0.7469,0,0.8990,0
5,3,0.7764,0,0.7701,0
5,4,0.7984,0,0.6877,0
6,0,0.5016,0,2.6939,0
6,1,0.6681,0,1.1438,0
6,2,0.7367,0,0.8807,0
6,3,0.7629,0,0.7898,0
6,4,0.7827,0,0.7162,0
7,0,0.5051,0,2.8914,0
7,1,0.7236,0,1.0092,0
7,2,0.7991,0,0.6922,0
7,3,0.8215,0,0.6097,0
7,4,0.8373,0,0.5373,0
8,0,0.5402,0,2.5813,0
8,1,0.7396,0,0.9178,0
8,2,0.7868,0,0.7179,0
8,3,0.8019,0,0.6337,0
8,4,0.8218,0,0.5809,0
9,0,0.5348,0,2.4556,0
9,1,0.7156,0,0.9569,0
9,2,0.7628,0,0.7865,0
9,3,0.7779,0,0.7154,0
9,4,0.7920,0,0.6625,0
