training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3148,0,2.0362,0
0,1,0.3988,0,1.6808,0
0,2,0.4678,0,1.5488,0
0,3,0.5014,0,1.4557,0
0,4,0.5386,0,1.3645,0
1,0,0.2349,0,2.9593,0
1,1,0.4495,0,1.8033,0
1,2,0.5771,0,1.3863,0
1,3,0.6663,0,1.0838,0
1,4,0.7159,0,0.9294,0
2,0,0.3275,0,3.5863,0
2,1,0.5711,0,1.4491,0
2,2,0.6705,0,1.0875,0
2,3,0.7146,0,0.9077,0
2,4,0.7432,0,0.8138,0
3,0,0.3947,0,3.6427,0
3,1,0.5799,0,1.4223,0
3,2,0.6736,0,1.0346,0
3,3,0.7134,0,0.8954,0
3,4,0.7275,0,0.8329,0
4,0,0.4218,0,3.2632,0
4,1,0.6507,0,1.1282,0
4,2,0.7220,0,0.8558,0
4,3,0.7537,0,0.7486,0
4,4,0.7718,0,0.6802,0
5,0,0.4230,0,3.2491,0
5,1,0.6539,0,1.1692,0
5,2,0.7443,0,0.8491,0
5,3,0.7866,0,0.6802,0
5,4,0.8068,0,0.6204,0
6,0,0.4407,0,3.1529,0
6,1,0.6360,0,1.1677,0
6,2,0.7336,0,0.8025,0
6,3,0.7711,0,0.6762,0
6,4,0.7950,0,0.6095,0
7,0,0.4539,0,2.9070,0
7,1,0.6925,0,0.9495,0
7,2,0.7714,0,0.6721,0
7,3,0.7979,0,0.5784,0
7,4,0.8294,0,0.5064,0
8,0,0.4662,0,2.9221,0
8,1,0.7216,0,0.8674,0
8,2,0.7705,0,0.6924,0
8,3,0.8002,0,0.6051,0
8,4,0.8191,0,0.5424,0
9,0,0.5133,0,2.5811,0
9,1,0.7552,0,0.7206,0
9,2,0.8153,0,0.5427,0
9,3,0.8382,0,0.4709,0
9,4,0.8563,0,0.4232,0
