training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3770,0,1.8846,0
0,1,0.5256,0,1.3675,0
0,2,0.5780,0,1.2259,0
0,3,0.6202,0,1.0998,0
0,4,0.6582,0,1.0145,0
1,0,0.3491,0,2.5645,0
1,1,0.5934,0,1.3010,0
1,2,0.6932,0,0.9791,0
1,3,0.7649,0,0.7558,0
1,4,0.7998,0,0.6396,0
2,0,0.3129,0,3.8705,0
2,1,0.5800,0,1.4853,0
2,2,0.7124,0,0.9592,0
2,3,0.7722,0,0.7305,0
2,4,0.7983,0,0.6368,0
3,0,0.3975,0,3.7359,0
3,1,0.6291,0,1.2642,0
3,2,0.7308,0,0.8528,0
3,3,0.7731,0,0.7107,0
3,4,0.7896,0,0.6413,0
4,0,0.4266,0,3.4733,0
4,1,0.6061,0,1.3882,0
4,2,0.7191,0,0.8747,0
4,3,0.7620,0,0.7322,0
4,4,0.7905,0,0.6546,0
5,0,0.4386,0,3.2427,0
5,1,0.6499,0,1.2714,0
5,2,0.7795,0,0.7241,0
5,3,0.8208,0,0.5796,0
5,4,0.8438,0,0.5022,0
6,0,0.4330,0,3.3316,0
6,1,0.6485,0,1.2670,0
6,2,0.7670,0,0.7164,0
6,3,0.8025,0,0.5951,0
6,4,0.8270,0,0.5330,0
7,0,0.4527,0,2.9225,0
7,1,0.7376,0,0.8426,0
7,2,0.8365,0,0.5075,0
7,3,0.8604,0,0.4272,0
7,4,0.8833,0,0.3520,0
8,0,0.4795,0,2.9692,0
8,1,0.7308,0,0.8420,0
8,2,0.7959,0,0.6204,0
8,3,0.8213,0,0.5463,0
8,4,0.8338,0,0.5029,0
9,0,0.4934,0,2.7269,0
9,1,0.7242,0,0.8306,0
9,2,0.7810,0,0.6720,0
9,3,0.8062,0,0.5673,0
9,4,0.8240,0,0.5108,0
